,date,unitName,sqrFt,price,availableDate,bdr,bthr,flr,features,apt_views,hasSpecial
0,02-06-22,Apartment 03T,550,3396,Now,0,1,3,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",46,0
1,02-06-22,Apartment 07S,556,3496,Now,0,1,7,"West view
Quartz countertops
Gray wood plank flooring",21,0
2,02-06-22,Apartment 12T,550,3491,Now,0,1,12,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",14,0
3,02-06-22,Apartment 18S,556,3386,Now,0,1,18,"West view
Gas stove
Breakfast bar",22,0
4,02-06-22,Apartment 19T,550,3436,Now,0,1,19,"Stainless steel appliances
Gas stove
Breakfast bar",13,0
5,02-06-22,Apartment 15N,581,3386,2/11/2022,0,1,15,"West view
Gas stove
Breakfast bar",22,0
6,02-06-22,Apartment 21S,556,3461,2/11/2022,0,1,21,"West view
Gas stove
Breakfast bar",12,0
7,02-06-22,Apartment 16X,431,3284,2/25/2022,0,1,16,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",32,0
8,02-06-22,Apartment 17Z,837,4271,2/25/2022,0,1,17,"Stackable washer and dryer
Quartz countertops
Gray wood plank flooring",30,0
9,02-06-22,Apartment 19N,581,3781,3/4/2022,0,1,19,"West view
Quartz countertops
Gray wood plank flooring",15,0
10,02-06-22,Apartment 14P,557,3411,3/5/2022,0,1,14,"West view
Stainless steel appliances
Gas stove",12,0
11,02-06-22,Apartment 21P,557,3731,3/5/2022,0,1,21,"West view
Quartz countertops
Gray wood plank flooring",10,0
12,02-06-22,Apartment 05C,589,3841,3/11/2022,0,1,5,"East River view
Quartz countertops
Gray wood plank flooring",17,0
13,02-06-22,Apartment 21J,600,3976,3/11/2022,0,1,21,"Stackable washer and dryer
Quartz countertops
Gray wood plank flooring",20,0
14,02-06-22,Apartment 04S,556,3931,3/19/2022,0,1,4,"West view
Quartz countertops
Modern cabinetry",10,0
15,02-06-22,Apartment 15K,924,4266,3/25/2022,0,1,15,"Stackable washer and dryer
Stainless steel appliances
Gas stove",11,0
16,02-06-22,Apartment 15J,600,4231,3/26/2022,0,1,15,"Stackable washer and dryer
Quartz countertops
Gray wood plank flooring",7,0
17,02-06-22,Apartment 04R,560,4031,4/2/2022,0,1,4,"West view
Quartz countertops
Gray wood plank flooring",7,0
18,02-06-22,Apartment 12P,557,3411,4/2/2022,0,1,12,"West view
Stainless steel appliances
Gas stove",8,0
19,02-06-22,Apartment 18Q,564,4031,4/2/2022,0,1,18,"West view
Quartz countertops
Gray wood plank flooring",7,0
